Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220420-22,2022-04-20,40003619950,ZINĀTNISKI TEHNISKĀS INFORMĀCIJAS INŽENIERIS,Transports / Loģistika,1368.000,1425.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-15,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320045667
220420-24,2022-04-20,40003619950,TEHNISKĀS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS,Transports / Loģistika,2442.000,2646.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320048181
220427-56,2022-04-27,40003619950,INFORMĀCIJAS TEHNOLOĢIJU STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS,Transports / Loģistika,4800.000,5200.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-17,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320638505
220131-13,2022-03-31,40003619950,ATSLĒDZNIEKS,Transports / Loģistika,930.000,1125.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315046032
220131-15,2022-03-31,40003619950,Ritošā sastāva ATSLĒDZNIEKS,Transports / Loģistika,1038.000,1255.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Kleistu iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315046408
220301-5,2022-03-31,40003619950,AUTOBUSA VADĪTĀJS,Transports / Loģistika,6.530,7.440,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Kleistu iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810377
220301-4,2022-03-31,40003619950,ELEKTROMEHĀNISKO IEKĀRTU MEHĀNIĶIS,Transports / Loģistika,1098.000,1313.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810355
220224-42,2022-03-31,40003619950,AUTOAPKOPES SPECIĀLISTS,Transports / Loģistika,5.830,6.080,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316603445
220301-10,2022-03-31,40003619950,SABIEDRĪBAS VESELĪBAS SPECIĀLISTS,Transports / Loģistika,4.970,5.180,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Kleistu iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810658
220301-9,2022-03-31,40003619950,ELEKTROATSLĒDZNIEKS,Transports / Loģistika,1098.000,1313.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810584
220301-8,2022-03-31,40003619950,GAISVADU LĪNIJU ELEKTROMONTIERIS,Transports / Loģistika,6.310,6.840,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810535
220301-7,2022-03-31,40003619950,ELEKTROATSLĒDZNIEKS,Transports / Loģistika,1098.000,1313.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810519
220301-2,2022-03-31,40003619950,MEHĀNISKĀ TRANSPORTLĪDZEKĻA VADĪTĀJS,Transports / Loģistika,4.760,5.160,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810314
220301-3,2022-03-31,40003619950,TRANSPORTA KONTROLIERIS,Transports / Loģistika,6.020,6.530,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810340
220301-6,2022-03-31,40003619950,REMONTATSLĒDZNIEKS,Transports / Loģistika,1158.000,1372.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316810473
220427-74,2022-04-27,40900010472,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,455.500,455.500,Nepilna slodze,"","",2022-05-31,"","Rīga, Vecmīlgrāvja 1. līnija, 41",https://cvvp.nva.gov.lv/#/pub/vakances/320644157
220420-79,2022-04-20,40003222317,ĀRSTNIECĪBAS IESTĀDES KLIENTU UN PACIENTU REĢISTRATORS,Veselības aprūpe / Sociālā aprūpe,700.000,700.000,Viena vesela slodze,Maiņu darbs,"",2022-05-20,"","Slimnīcas iela 2, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320084443
220311-64,2022-03-11,40003222317,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,645.000,645.000,"",Maiņu darbs,"",2022-07-15,"","Turkalnes iela 15, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317524079
220311-67,2022-03-11,40003222317,APKOPĒJS,Veselības aprūpe / Sociālā aprūpe,550.000,550.000,"",Maiņu darbs,"",2022-07-15,"","Turkalnes iela 15, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317525584
220311-73,2022-03-11,40003222317,APKOPĒJS,Veselības aprūpe / Sociālā aprūpe,550.000,550.000,"",Maiņu darbs,"",2022-07-15,"","Slimnīcas iela 2, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317527647
220311-95,2022-03-11,40003222317,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,7.000,7.000,"","","",2022-07-15,"","Slimnīcas iela 2, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317531917
220311-91,2022-03-11,40003222317,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,800.000,800.000,"","","",2022-07-15,"","Slimnīcas iela 2, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317531587
220427-75,2022-04-27,40900010472,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,911.000,911.000,Viena vesela slodze,"","",2022-05-31,"","Rīga, Vecmīlgrāvja 1. līnija, 41",https://cvvp.nva.gov.lv/#/pub/vakances/320644224
220427-77,2022-04-27,40900010472,PIRMSSKOLAS IZGLĪTĪBAS SPORTA SKOLOTĀJS,Izglītība / Zinātne,786.190,786.190,"","","",2022-05-31,"","Rīga, Vecmīlgrāvja 1. līnija, 41",https://cvvp.nva.gov.lv/#/pub/vakances/320644392
220427-78,2022-04-27,40900010472,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,614.000,614.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Vecmīlgrāvja 1. līnija, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320644455
220427-83,2022-04-27,40900010472,VIRTUVES DARBINIEKS,Izglītība / Zinātne,500.000,500.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Vecmīlgrāvja 1. līnija 41, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320644971
220412-155,2022-04-12,90009029104,ĀRSTS (EKSPERTS),Veselības aprūpe / Sociālā aprūpe,1530.000,1700.000,Viena vesela slodze,"","",2022-05-15,"","Duntes iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319674246
220427-71,2022-04-27,90000030432,ARHĪVISTS,Valsts pārvalde,675.000,892.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-15,"","Puškina iela 14, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320643353
220428-228,2022-04-28,90000030432,VECĀKAIS EKSPERTS,Valsts pārvalde,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-20,"","11. novembra krastmala 31, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320826312
220412-138,2022-04-12,40900016348,APKOPĒJS,Cita,515.000,515.000,Viena vesela slodze,"","",2022-05-31,"","K.Valdemāra iela 48, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319664960
220412-140,2022-04-12,40900016348,APKOPĒJS,Cita,500.000,500.000,Viena vesela slodze,"","",2022-05-31,"","Kr. Valdemāra iela 48, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319665744
220412-145,2022-04-12,40900016348,SEKRETĀRS,Cita,866.000,866.000,Viena vesela slodze,"","",2022-05-31,"","Kr. Valdemāra iela 48, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319667386
220301-256,2022-04-04,90009067337,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,750.000,750.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-05,"","Bitītes, Trapene, Trapenes pag., Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/316899205
220422-275,2022-04-22,90009067337,BŪVINSPEKTORS,Būvniecība / Nekustamais īpašums,675.000,675.000,Nepilna slodze,"",20,2022-05-27,"","Dārza iela 11, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320351469
220422-280,2022-04-22,90009067337,BŪVINSPEKTORS,Būvniecība / Nekustamais īpašums,1500.000,1500.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-27,"","Dārza iela 11, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320352042
220302-116,2022-04-04,90009067337,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,350.000,350.000,Nepilna slodze,"",20,2022-05-05,"","Bitītes, Trapene, Trapenes pag., Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/316944889
220427-38,2022-04-27,90009067337,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-20,"","Dārza iela 11, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320629315
220427-42,2022-04-27,90009067337,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-20,"","Dārza iela 11, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320632725
220427-69,2022-04-27,90009067337,GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Cita,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Vidzemes iela 2, Rauna, Raunas pag., Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320642120
220420-153,2022-04-20,90009067337,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Cita,1300.000,1300.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Dārza iela 3, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320113473
220412-156,2022-04-12,90009029104,VECĀKAIS KONSULTANTS,Veselības aprūpe / Sociālā aprūpe,1675.000,1750.000,Viena vesela slodze,"","",2022-05-15,"","Duntes iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319675948
220502-4,2022-05-02,90009029104,SABIEDRĪBAS VESELĪBAS ANALĪTIĶIS,Veselības aprūpe / Sociālā aprūpe,940.000,1150.000,Viena vesela slodze,"","",2022-05-16,"","Laktas iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320982043
220429-224,2022-04-29,90009067337,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,5.350,5.350,"",Summētais darba laiks,"",2022-05-15,"","Pils iela 2A, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320945520
220503-341,2022-05-03,90009067337,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,1032.000,1032.000,Viena vesela slodze,"","",2022-05-21,"","Ezera iela 8 - 4, Launkalne, Launkalnes pag., Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321203434
220309-458,2022-05-02,90009029104,Neatliekamās medicīnas ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,945.000,945.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-05,"","Limbažu iela 12B, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317402197
220425-27,2022-05-03,40900038913,PAŠVALDĪBAS POLICIJAS KĀRTĪBNIEKS,Drošība / Glābšanas dienesti / Aizsardzība,565.000,610.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-20,"","Brīvības iela 6, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320385303
220421-89,2022-04-21,40900000544,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Pakalpojumi,924.000,924.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Upes iela 3A, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320175467
220421-91,2022-04-21,40900000544,PIRMSSKOLAS IZGLĪTĪBAS SPORTA SKOLOTĀJS,Pakalpojumi,914.000,914.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-20,"","Upes iela 3A, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320176577
220502-304,2022-05-02,90000065595,PROJEKTA VADĪTĀJS,Valsts pārvalde,879.000,1000.000,Viena vesela slodze,"","",2022-05-09,"","Domes iela 3, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321080228
220426-185,2022-04-26,90010991438,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,608.000,608.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Strēlnieku prospekts 38, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320571585
220426-181,2022-04-26,90010991438,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,608.000,608.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Strēlnieku prospekts 38, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320570428
220502-495,2022-05-02,90010991438,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,214.000,214.000,Nepilna slodze,Summētais darba laiks,"",2022-05-31,"","Strēlnieku prospekts 38, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/321113298
220427-3,2022-04-27,40900028188,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,640.000,640.000,Viena vesela slodze,"","",2022-05-31,"","Lēdurgas iela 18A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320602329
220427-5,2022-04-27,40900028188,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,320.000,320.000,Nepilna slodze,"","",2022-05-31,"","Lēdurgas iela 18A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320603234
220427-12,2022-04-27,40900028188,AMBULATORĀS APRŪPES MĀSA,Izglītība / Zinātne,670.800,670.800,Nepilna slodze,"","",2022-05-31,"","Lēdurgas iela 18A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320604625
220425-223,2022-05-02,90000057460,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (KULTŪRAS JOMĀ),Kultūra / Māksla,940.000,1100.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Pulkveža Brieža iela 16, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320463356
220425-231,2022-04-25,90000057460,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (KULTŪRAS JOMĀ),Kultūra / Māksla,1080.000,1150.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Strazdumuižas iela 80, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320465276
220425-229,2022-04-25,90000057460,VECĀKAIS BIBLIOTEKĀRS,Kultūra / Māksla,920.000,1050.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Strazdumuižas iela 80, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320464530
220425-232,2022-04-25,90000057460,VECĀKAIS BIBLIOTEKĀRS,Kultūra / Māksla,920.000,1050.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Strazdumuižas iela 80, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320465683
220428-229,2022-04-28,40900026806,EKSPERTS,Valsts pārvalde,1287.000,1287.000,"","","",2022-05-08,"","Mazā Jauniela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320826332
220428-25,2022-04-28,3601902600,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,614.000,614.000,Viena vesela slodze,"","",2022-05-31,"","Rīga,Tallinas iela 64",https://cvvp.nva.gov.lv/#/pub/vakances/320737649
220425-263,2022-04-26,40003032949,ĶĪMIJAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1250.000,1400.000,Viena vesela slodze,"","",2022-05-08,"","Krustpils iela 15A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320472230
220502-309,2022-05-02,90000065595,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Valsts pārvalde,1484.000,1558.000,Viena vesela slodze,"","",2022-05-09,"","Rīgas iela 77, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321080361
220425-144,2022-04-25,40900015380,SĒTNIEKS,Izglītība / Zinātne,500.000,500.000,"","","",2022-05-31,"","Ogres iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320429204
220426-7,2022-04-26,40003032949,PROJEKTA VADĪTĀJS,Elektronika / Enerģētika / Elektroenerģija,2000.000,2400.000,Viena vesela slodze,"","",2022-05-10,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320487027
220426-206,2022-04-26,90001259776,SAIMNIECĪBAS VADĪTĀJS,Vadība / Administrēšana,745.000,1093.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-17,"","Vagonu iela 38, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320576956
220422-20,2022-04-22,40003032949,Tirgus pētījumu ANALĪTIĶIS,Cita,1400.000,1800.000,Viena vesela slodze,"","",2022-05-08,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320265675
220422-23,2022-04-22,40003032949,PRODUKTU SPECIĀLISTS,Cita,1900.000,2200.000,Viena vesela slodze,"","",2022-05-08,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320267224
220422-212,2022-04-22,40003032949,PĀRVALDES SEKRETĀRS,Cita,1500.000,1800.000,Viena vesela slodze,"","",2022-05-08,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320332130
220419-17,2022-04-19,40003032949,TIRDZNIECĪBAS PĀRSTĀVIS,Elektronika / Enerģētika / Elektroenerģija,1450.000,1450.000,Viena vesela slodze,Maiņu darbs,"",2022-05-26,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319923237
220425-52,2022-04-25,40003032949,PRODUKTU SPECIĀLISTS,Elektronika / Enerģētika / Elektroenerģija,1250.000,1400.000,Viena vesela slodze,"","",2022-05-08,"","Jomas iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320395437
220421-293,2022-04-25,90001733697,VECĀKAIS EKSPERTS,Valsts pārvalde,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Alberta iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320239072
220428-13,2022-04-28,90001733697,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Valsts pārvalde,1052.000,1382.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-13,"","Alberta iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320723741
220427-18,2022-04-27,90001259776,MEISTARS (automobiļu tehniskās apkopes un remonta pakalpojumu jomā),Valsts pārvalde,675.000,996.000,Viena vesela slodze,"","",2022-05-17,"","Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320613621
220421-53,2022-04-21,90000056484,PROJEKTA VADĪTĀJS,Vadība / Administrēšana,1287.000,1549.000,"","","",2022-05-06,"","Amatu iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320160930
220421-28,2022-04-21,90000028508,JURISTS,Valsts pārvalde,1253.000,1647.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-09,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320154414
220419-76,2022-04-19,90000028508,VECĀKAIS KONSULTANTS,Valsts pārvalde,1253.000,1450.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-09,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319943084
220429-32,2022-04-29,40003032949,SILTUMIEKĀRTU EKSPLUATĀCIJAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1800.000,2200.000,"","","",2022-05-13,"","Viskaļu iela 16, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320871770
220429-39,2022-04-29,40003032949,ĒKU SISTĒMU INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1650.000,1950.000,"","","",2022-05-13,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320874290
220429-55,2022-04-29,40003032949,DROŠĪBAS SPECIĀLISTS,Drošība / Glābšanas dienesti / Aizsardzība,1500.000,1900.000,"","","",2022-05-13,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320881935
220429-209,2022-04-29,40003032949,SKAITĻOTĀJU /SISTĒMU INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1800.000,2200.000,"","","",2022-05-13,"","Pulkveža Brieža iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320940907
220421-61,2022-04-21,90000056484,PĀRVALDES VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Transports / Loģistika,2264.000,2264.000,"","","",2022-05-23,"","Amatu iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320162908
220429-69,2022-04-29,50900036191,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,872.000,872.000,Viena vesela slodze,"","",2022-05-18,"","Gaujas iela 7, Līgatne, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320888075
220425-59,2022-04-25,90000028508,VECĀKAIS EKSPERTS,Valsts pārvalde,1253.000,1450.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320400986
220425-62,2022-04-25,90000028508,VECĀKAIS EKSPERTS,Valsts pārvalde,1253.000,1450.000,Viena vesela slodze,"","",2022-05-10,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320402196
220422-96,2022-04-22,90000056484,VECĀKAIS REFERENTS,Cita,842.000,1000.000,"","","",2022-05-06,"","Amatu iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320302396
220428-96,2022-04-28,90000028508,VECĀKAIS EKSPERTS,Valsts pārvalde,1253.000,1647.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320757531
220420-12,2022-04-20,90000056484,Informācijas tehnoloģiju projektu VADĪTĀJS,Informācijas tehnoloģijas / Telekomunikācijas,1500.000,1500.000,"","","",2022-05-13,"","Amatu iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320040761
220503-543,2022-05-03,90000028508,VECĀKAIS EKSPERTS,Valsts pārvalde,1253.000,1647.000,Viena vesela slodze,"","",2022-05-20,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321238762
220428-27,2022-04-28,90000056484,INFORMĀCIJAS TEHNOLOĢIJU (IT) PAKALPOJUMU PĀRVALDĪBAS PROCESU VADĪTĀJS,Informācijas tehnoloģijas / Telekomunikācijas,1382.000,1382.000,"","","",2022-05-13,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320737884
220428-32,2022-04-28,90000056484,Informācijas tehnoloģiju projektu VADĪTĀJS,Informācijas tehnoloģijas / Telekomunikācijas,1382.000,1382.000,"","","",2022-05-13,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320739077
220413-136,2022-04-13,40900034748,VECĀKAIS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,996.000,1093.000,Viena vesela slodze,"","",2022-05-06,"","Sigulda, Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319789703
220428-37,2022-04-28,90000056484,TERITORIJAS PLĀNOTĀJS,Valsts pārvalde,1287.000,1287.000,"","","",2022-05-13,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320741514
220428-36,2022-04-28,90000056484,SATIKSMES PLĀNOTĀJS,Valsts pārvalde,1382.000,1382.000,"","","",2022-05-13,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320740842
220426-103,2022-04-26,40003369018,PALĪGSTRĀDNIEKS,Cita,850.000,850.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-06,"","Attīrīšanas iekārtas 3, Salaspils pag., Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320534639
220427-165,2022-04-27,40003369018,INŽENIERKOMUNIKĀCIJU PIESAISTES INŽENIERIS,Cita,1500.000,1500.000,Viena vesela slodze,Normālais darba laiks,0,2022-05-09,"","Miera iela 26A, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320676414
220421-153,2022-04-21,90000029912,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Valsts pārvalde,940.000,1150.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-06,"","Palasta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320196516
220428-136,2022-04-28,90001739473,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Valsts pārvalde,1917.000,2683.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-15,"","Pērses iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320778797
220422-184,2022-04-22,90000029912,MUZEJPEDAGOGS,Valsts pārvalde,835.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Palasta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320326180
