Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220407-259,2022-04-07,90000099040,GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Bankas / Apdrošināšana / Finanses/Grāmatvedība,835.000,1012.000,"","","",2022-05-06,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319355851
220407-269,2022-04-07,90000099040,GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Bankas / Apdrošināšana / Finanses/Grāmatvedība,835.000,1012.000,"","","",2022-05-06,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319356521
220401-216,2022-04-01,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Ķieģeļu iela 14, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318920746
220407-271,2022-04-07,90000099040,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (FINANŠU UN APDROŠINĀŠANAS JOMĀ),Bankas / Apdrošināšana / Finanses/Grāmatvedība,1052.000,1313.000,"","","",2022-05-06,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319356784
220401-220,2022-04-01,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Ķieģeļu iela 14, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318921353
220208-91,2022-05-02,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1100.000,1208.000,Viena vesela slodze,"","",2022-05-19,"","Pētera iela 5, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/315651494
220401-263,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Tvaikoņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318931516
220401-262,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Ķieģeļu iela 14, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318931353
220401-273,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Rīgas iela 10, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318932856
220401-274,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Dārza iela 14/16, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/318932983
220401-278,2022-05-02,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Palīdzības iela 3, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/318933480
220401-268,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Dzirnavu iela 32, Valmiermuiža, Valmieras pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318932414
220401-271,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Mazā Matīsa iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318932677
220401-261,2022-04-01,90000027165,PSIHOLOGS,Valsts pārvalde,1237.000,1324.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Lielā iela 1, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/318930745
220208-93,2022-05-02,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1100.000,1208.000,Viena vesela slodze,"","",2022-05-19,"","Pētera iela 5, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/315651685
220503-507,2022-05-03,90000099040,FINANSISTS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,940.000,1094.000,"","","",2022-06-03,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321233488
220427-213,2022-04-27,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Dārza iela 14/16, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/320690235
220427-214,2022-04-27,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Dārza iela 14/16, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/320690508
220503-513,2022-05-03,90000099040,TRANSPORTA MEHĀNIĶIS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,675.000,847.000,"","","",2022-06-03,"","Vestienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321234285
220131-144,2022-04-01,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Dzirnavu iela 32, Valmiermuiža, Valmieras pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315101780
220131-154,2022-04-01,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Rīgas iela 10, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315106829
